Criptomoeda,M̩dia Baixa
GALA,-12.444419110203484
JUP,-6.258151328627193
Uni,-9.319132733699462
aave,-9.524243252834902
ada,-18.006425412745944
aero,-14.898616690275679
algo,-14.080514183340618
apt,-7.041321322091699
arb,-5.190653509850881
avax,-13.352069993035363
axs,-13.179389994158784
bnb,-11.17747359524328
btc,-8.499461003665063
cro,-13.35927633187247
crv,-12.21320259367439
dot,-11.014484169484012
ena,-16.903321320337486
eth,-14.784159348673462
fil,-10.575129323020432
icp,-17.201203346070642
imx,-10.399549362918814
inj,-15.094049188086677
jto,-4.679592886106447
ldo,-12.643716550561217
link,-12.235210268634994
mkr,-11.572063395670673
mnt,-6.304959677872198
near,-11.350175134135897
nexo,-14.358398562252514
om,-16.065320595015802
ondo,-14.304656202122953
op,-8.980541082271534
pepe,-15.869889376892425
pyth,-12.179522067468415
qnt,-13.924102544987743
ray,-20.165269906955917
ron,-20.042942560325116
sand,-10.844261034244393
sei,-20.536887153702853
shib,-10.341044166044233
sol,-14.855862281090685
sui,-8.33112122816299
tia,-13.574262161343976
ton,-8.254901207917532
trx,-10.13563141210796
virtual,-29.016771646498647
wld,-19.740415934086116
xrp,-9.513239861210621
